make,model,type,year,fuel_type,daily_rate,status,location_city,location_state,location_latitude,location_longitude
Chrysler,Pacifica,car,2007,GASOLINE,24,,Houston,TX,29.671812,-95.527209
Chrysler,200,car,2015,GASOLINE,48,,Houston,TX,29.683074,-95.385663
Land Rover,Range Rover Evoque,suv,2016,GASOLINE,120,,Houston,TX,29.752155,-95.350934
Honda,Odyssey,minivan,2012,GASOLINE,67,,Pearland,TX,29.574503,-95.412465
Hyundai,Sonata,car,2018,GASOLINE,56,,Pearland,TX,29.575687,-95.412482
Toyota,4Runner,suv,2015,GASOLINE,85,,Friendswood,TX,29.506745,-95.157848
BMW,3 Series,car,2011,GASOLINE,58,,Houston,TX,29.746491,-95.308254
Mercedes-Benz,CLA-Class,car,2014,GASOLINE,82,,Sugar Land,TX,29.650526,-95.660774
Chevrolet,Malibu,car,2014,GASOLINE,35,,Houston,TX,29.621181,-95.224279
Subaru,Forester,suv,2013,GASOLINE,32,,Houston,TX,29.744426,-95.3909
Honda,CR-V,suv,2011,GASOLINE,35,,Houston,TX,29.745102,-95.39191
Toyota,Prius,car,2013,HYBRID,28,,Missouri City,TX,29.555005,-95.541668
Chevrolet,Camaro,car,2011,GASOLINE,75,,Houston,TX,29.727884,-95.481867
Toyota,Corolla,car,2016,GASOLINE,28,,Missouri City,TX,29.555223,-95.541236
Nissan,Murano,suv,2016,GASOLINE,55,,Sugar Land,TX,29.649896,-95.660581
Toyota,Camry,car,2018,GASOLINE,35,,Houston,TX,29.774725,-95.690638
Mercedes-Benz,E-Class,car,2011,GASOLINE,55,,Houston,TX,29.746675,-95.307274
Toyota,Avalon,car,2009,GASOLINE,26,,Missouri City,TX,29.536677,-95.554034
Mercedes-Benz,E-Class,car,2012,GASOLINE,75,,Houston,TX,29.738272,-95.479774
Hyundai,Elantra,car,2015,GASOLINE,50,,Houston,TX,29.704152,-95.366628
Toyota,Camry,car,2011,GASOLINE,26,,Missouri City,TX,29.554737,-95.541214
Toyota,Camry,car,2011,GASOLINE,26,,Missouri City,TX,29.535746,-95.553805
Toyota,Camry,car,2011,GASOLINE,26,,Missouri City,TX,29.536813,-95.552605
Lexus,RX 350,suv,2016,GASOLINE,89,,Katy,TX,29.703032,-95.762906
Audi,A4,car,2017,GASOLINE,129,,Katy,TX,29.766259,-95.838882
BMW,3 Series,car,2008,GASOLINE,75,,Houston,TX,29.72692,-95.481329
Toyota,Corolla,car,2010,GASOLINE,25,,Missouri City,TX,29.554604,-95.541219
Toyota,Corolla,car,2010,GASOLINE,25,,Missouri City,TX,29.53718,-95.553572
Mercedes-Benz,GLK-Class,suv,2011,GASOLINE,75,,Houston,TX,29.728862,-95.471361
Acura,MDX,suv,2014,GASOLINE,119,,Katy,TX,29.767126,-95.838387
Hyundai,Santa Fe,suv,2020,GASOLINE,35,,Houston,TX,29.775728,-95.690063
Toyota,Corolla,car,2015,GASOLINE,28,,Missouri City,TX,29.536102,-95.552235
Lexus,ES 350,car,2016,GASOLINE,45,,Houston,TX,29.779528,-95.559687
Toyota,Corolla,car,2014,GASOLINE,28,,Missouri City,TX,29.555245,-95.54122
Toyota,Prius,car,2011,HYBRID,26,,Missouri City,TX,29.554911,-95.542132
Toyota,Camry,car,2011,GASOLINE,26,,Missouri City,TX,29.554892,-95.541126
Toyota,Camry,car,2016,GASOLINE,57,,Houston,TX,29.701264,-95.618301
Toyota,Corolla,car,2009,GASOLINE,25,,Missouri City,TX,29.537634,-95.553217
Toyota,Camry,car,2009,GASOLINE,26,,Missouri City,TX,29.554677,-95.541552
Toyota,Corolla,car,2013,GASOLINE,26,,Missouri City,TX,29.536149,-95.553116
Toyota,Corolla,car,2006,GASOLINE,23,,Missouri City,TX,29.53763,-95.55387
Toyota,Camry,car,2016,GASOLINE,30,,Katy,TX,29.86105,-95.719646
Toyota,Corolla,car,2010,GASOLINE,25,,Missouri City,TX,29.536599,-95.553265
Toyota,Corolla,car,2008,GASOLINE,23,,Missouri City,TX,29.535496,-95.553104
Kia,Forte,car,2019,GASOLINE,29,,Houston,TX,29.740061,-95.58766
Hyundai,Elantra,car,2019,GASOLINE,27,,Houston,TX,29.775815,-95.691638
Honda,Accord Sedan,car,2019,GASOLINE,57,,Houston,TX,29.702022,-95.619414
Nissan,Xterra,suv,2013,GASOLINE,61,,Conroe,TX,30.336826,-95.467705
Chevrolet,Tahoe Hybrid,suv,2009,HYBRID,48,,Houston,TX,29.7289,-95.48014
Mercedes-Benz,C-Class,car,2017,GASOLINE,65,,Houston,TX,29.745875,-95.458299
Toyota,Corolla,car,2010,GASOLINE,25,,Missouri City,TX,29.536327,-95.552758
Nissan,Murano,suv,2015,GASOLINE,62,,Katy,TX,29.703037,-95.762885
Toyota,Camry,car,2018,GASOLINE,54,,Houston,TX,29.771998,-95.592032
Ford,Transit Wagon,van,2016,GASOLINE,199,,Missouri City,TX,29.552217,-95.551386
Mercedes-Benz,Sprinter,van,2018,DIESEL,275,,Missouri City,TX,29.551451,-95.551541
Toyota,Camry,car,2013,GASOLINE,40,,Sugar Land,TX,29.650736,-95.65999
Toyota,Camry,car,2011,GASOLINE,45,,Sugar Land,TX,29.647709,-95.648718
Lexus,ES 300h,car,2016,HYBRID,75,,Katy,TX,29.736439,-95.820048
Toyota,Corolla,car,2013,GASOLINE,26,,Missouri City,TX,29.555318,-95.541608
Hyundai,Tucson,suv,2013,GASOLINE,42,,Houston,TX,29.630458,-95.206038
Toyota,Camry,car,2016,GASOLINE,30,,Katy,TX,29.860459,-95.720254
Tesla,Model X,suv,2018,ELECTRIC,251,,Toney,AL,34.913666,-86.81863
Chevrolet,Volt,car,2017,HYBRID,44,,Huntsville,AL,34.722396,-86.585458
Ford,Fusion,car,2012,GASOLINE,30,,Huntsville,AL,34.765554,-86.603311
Ford,Mustang,car,2017,GASOLINE,99,,Huntsville,AL,34.757135,-86.690938
Kia,Soul,car,2018,GASOLINE,44,,Huntsville,AL,34.73897,-86.590915
Tesla,Model Y,suv,2020,ELECTRIC,200,,Madison,AL,34.731649,-86.740189
Mercedes-Benz,E-Class,car,2011,GASOLINE,68,,Huntsville,AL,34.635667,-86.725193
Hyundai,Elantra,car,2020,GASOLINE,38,,Huntsville,AL,34.610931,-86.550137
Jeep,Wrangler,suv,2011,GASOLINE,60,,Sterling,VA,38.982457,-77.439304
Mercedes-Benz,GL-Class,suv,2012,GASOLINE,73,,Ashburn,VA,39.072427,-77.50205
Tesla,Model 3,car,2019,ELECTRIC,90,,Ashburn,VA,38.99859,-77.499347
Tesla,Model S,car,2015,ELECTRIC,100,,STERLING,VA,39.004263,-77.405047
Porsche,Cayenne,suv,2015,GASOLINE,78,,Chantilly,VA,38.913803,-77.500318
Tesla,Model 3,car,2017,ELECTRIC,93,,Vienna,VA,38.930897,-77.239077
Honda,Insight,car,2013,HYBRID,35,,Herndon,VA,38.943526,-77.403348
Volvo,XC40,suv,2019,GASOLINE,49,,Sterling,VA,39.007824,-77.439622
Tesla,Model S,car,2015,ELECTRIC,129,,Herndon,VA,38.9546,-77.383223
Mercedes-Benz,E-Class,car,2016,GASOLINE,87,,Fairfax,VA,38.858813,-77.356789
Chevrolet,Bolt EV,car,2017,ELECTRIC,57,,Sterling,VA,39.005077,-77.405856
Hyundai,Sonata,car,2015,GASOLINE,33,,Herndon,VA,38.947896,-77.418401
Toyota,Highlander,suv,2015,GASOLINE,58,,Chantilly,VA,38.891082,-77.430408
Toyota,Prius,car,2017,HYBRID,40,,Sterling,VA,38.999993,-77.417976
Hyundai,Santa Fe,suv,2019,GASOLINE,55,,Oak Hill,VA,38.950441,-77.418914
Nissan,Altima,car,2013,GASOLINE,34,,Sterling,VA,38.982735,-77.408464
Tesla,Model 3,car,2020,ELECTRIC,150,,Gaithersburg,MD,39.159495,-77.143216
Dodge,Charger,car,2015,GASOLINE,39,,Herndon,VA,38.947868,-77.419451
Chevrolet,Volt,car,2017,HYBRID,53,,Sterling,VA,39.004159,-77.40485
Jeep,Gladiator,truck,2020,GASOLINE,79,,Herndon,VA,38.920411,-77.419817
Infiniti,QX60,suv,2014,GASOLINE,90,,Ashburn,VA,39.016959,-77.455915
Mazda,CX-9,suv,2019,GASOLINE,55,,Ashburn,VA,39.049612,-77.512478
Dodge,Grand Caravan,minivan,2014,GASOLINE,37,,Herndon,VA,38.947197,-77.418757
Kia,Forte,car,2010,GASOLINE,26,,Herndon,VA,38.946946,-77.417943
Tesla,Model 3,car,2020,ELECTRIC,220,,Frederick,MD,39.365451,-77.442905
Chevrolet,Malibu,car,2012,GASOLINE,26,,Herndon,VA,38.946811,-77.418597
Ford,F-150,truck,2014,GASOLINE,75,,Sterling,VA,39.003946,-77.404685
BMW,3-Series,car,2020,GASOLINE,94,,Chantilly,VA,38.913416,-77.500433
Mercedes-Benz,C-Class,car,2008,GASOLINE,43,,Chantilly,VA,38.913331,-77.500221
Buick,Enclave,suv,2015,GASOLINE,60,,Herndon,VA,38.989269,-77.372524
Chevrolet,Volt,car,2013,HYBRID,46,,Sterling,VA,39.004285,-77.403997
Tesla,Model X,suv,2018,ELECTRIC,150,,Sterling,VA,39.044704,-77.397782
Ford,F-150,truck,2018,GASOLINE,115,,Aldie,VA,38.936636,-77.545945
Toyota,Camry,car,2017,GASOLINE,44,,Chantilly,VA,38.874415,-77.42262
Alfa-romeo,Giulia,car,2019,GASOLINE,171,,Centreville,VA,38.850445,-77.444268
Mazda,MAZDA5,minivan,2012,GASOLINE,38,,Herndon,VA,38.960649,-77.392943
Alfa-romeo,Stelvio,suv,2019,GASOLINE,136,,Centreville,VA,38.850528,-77.444783
Kia,Soul,car,2016,GASOLINE,38,,Chantilly,VA,38.875783,-77.422337
Toyota,Sienna,minivan,2012,GASOLINE,58,,Ashburn,VA,38.95819,-77.554931
Kia,Forte,car,2017,GASOLINE,37,,Chantilly,VA,38.87438,-77.421899
Ford,Fusion,car,2014,GASOLINE,35,,Ashburn,VA,39.056612,-77.443967
Mazda,MAZDA5,minivan,2010,GASOLINE,38,,Chantilly,VA,38.875463,-77.421882
Toyota,Highlander,suv,2011,GASOLINE,60,,Reston,VA,38.959017,-77.359154
Honda,CR-V,suv,2015,GASOLINE,49,,Chantilly,VA,38.929541,-77.543968
Hyundai,Sonata,car,2013,GASOLINE,37,,Fairfax,VA,38.860842,-77.334834
Kia,Forte,car,2014,GASOLINE,34,,Chantilly,VA,38.875547,-77.422247
Mazda,3,car,2018,GASOLINE,35,,Ashburn,VA,39.049569,-77.513312
Toyota,Yaris,car,2020,GASOLINE,40,,Chantilly,VA,38.87643,-77.422403
Hyundai,Sonata,car,2013,GASOLINE,35,,Fairfax,VA,38.860563,-77.335129
Honda,Civic,car,2014,GASOLINE,39,,Chantilly,VA,38.929517,-77.542499
Nissan,Sentra,car,2014,GASOLINE,33,,Fairfax,VA,38.860444,-77.336251
Land Rover,Range Rover Evoque,suv,2013,GASOLINE,59,,Vienna,VA,38.916547,-77.241631
Toyota,Corolla,car,2009,GASOLINE,29,,Fairfax,VA,38.861754,-77.335296
Mercedes-Benz,C-Class,car,2010,GASOLINE,35,,Leesburg,VA,39.110085,-77.576495
Mazda,3,car,2016,GASOLINE,42,,Washington,DC,38.916398,-77.028671
Honda,Accord,car,2012,GASOLINE,34,,Alexandria,VA,38.794913,-77.061276
Toyota,Camry,car,2014,GASOLINE,35,,Chantilly,VA,38.92253,-77.519684
BMW,3 Series,car,2011,GASOLINE,39,,Vienna,VA,38.915714,-77.241402
Honda,Civic,car,2008,GASOLINE,30,,Alexandria,VA,38.792584,-77.065029
BMW,3 Series,car,2010,GASOLINE,35,,Rockville,MD,39.060651,-77.116164
Mercedes-Benz,S-Class,car,2013,GASOLINE,78,,Houston,TX,29.956267,-95.327747
Land Rover,Range Rover,suv,2014,GASOLINE,108,,Humble,TX,29.941352,-95.247803
Mercedes-Benz,GL-Class,suv,2012,GASOLINE,52,,Humble,TX,29.941628,-95.247941
Acura,ILX,car,2013,GASOLINE,40,,Richmond,TX,29.701562,-95.789144
Audi,A8,car,2013,GASOLINE,150,,Houston,TX,29.953944,-95.328853
Tesla,Model S,car,2015,ELECTRIC,139,,Spring,TX,30.06039,-95.521106
Tesla,Model 3,car,2018,ELECTRIC,111,,Humble,TX,29.94572,-95.251403
Acura,ILX,car,2017,GASOLINE,50,,Houston,TX,29.747246,-95.366953
Audi,S5,car,2018,GASOLINE,151,,Houston,TX,29.812901,-95.382839
Chevrolet,Camaro,car,2017,GASOLINE,100,,New Caney,TX,30.166815,-95.197037
Aston Martin,V8 Vantage,car,2012,GASOLINE,225,,Houston,TX,29.729994,-95.470363
Toyota,Camry,car,2013,GASOLINE,30,,Houston,TX,29.938658,-95.503783
Porsche,Cayman,car,2016,GASOLINE,250,,Cypress,TX,29.979653,-95.666075
Mercedes-Benz,S-Class,car,2015,GASOLINE,227,,Houston,TX,29.74239,-95.459068
Polaris,Slingshot,car,2017,GASOLINE,199,,Houston,TX,29.76088,-95.360051
Mercedes-Benz,C-Class,car,2016,GASOLINE,59,,Cypress,TX,29.978118,-95.652379
Audi,A8,car,2011,GASOLINE,120,,Houston,TX,30.021017,-95.38328
Maserati,Ghibli,car,2016,GASOLINE,129,,Houston,TX,29.727958,-95.480595
Lexus,ES 350,car,2014,GASOLINE,64,,Humble,TX,30.014751,-95.285736
Audi,A3,car,2016,GASOLINE,68,,Cypress,TX,29.916896,-95.689361
Tesla,Model 3,car,2019,ELECTRIC,179,,Houston,TX,29.865169,-95.673319
Volkswagen,Tiguan,suv,2018,GASOLINE,53,,Houston,TX,29.939892,-95.504306
Lexus,RX 350,suv,2016,GASOLINE,74,,Conroe,TX,30.316136,-95.482818
Porsche,Boxster,car,2011,GASOLINE,134,,Houston,TX,29.727761,-95.48051
Audi,A7,car,2014,GASOLINE,90,,Spring,TX,30.081953,-95.51353
Lexus,LX,suv,2019,,199,,Houston,TX,30.009574,-95.486252
Toyota,Sienna,minivan,2012,GASOLINE,36,,Houston,TX,29.938712,-95.50321
Infiniti,Q50,car,2014,GASOLINE,63,,Houston,TX,29.765308,-95.625622
Jeep,Renegade,suv,2015,GASOLINE,45,,Houston,TX,30.019431,-95.381066
Hyundai,Elantra,car,2020,GASOLINE,38,,Houston,TX,29.726611,-95.530274
Cadillac,XTS,car,2017,GASOLINE,60,,Houston,TX,29.966075,-95.431423
BMW,X5,suv,2012,GASOLINE,106,,Houston,TX,29.745594,-95.465064
Nissan,Murano,suv,2012,GASOLINE,42,,Houston,TX,30.019721,-95.382956
Honda,Accord,car,2010,GASOLINE,29,,Houston,TX,30.01943,-95.381058
BMW,5 Series,car,2015,GASOLINE,150,,LINTHICUM HEIGHTS,MD,39.20451,-76.68968
Honda,Accord Sedan,car,2019,HYBRID,58,,Houston,TX,30.006675,-95.379783
Honda,Odyssey,minivan,2013,GASOLINE,44,,Cypress,TX,29.883712,-95.689757
Toyota,RAV4,suv,2012,GASOLINE,39,,Houston,TX,30.019797,-95.379648
Nissan,Versa Note,car,2015,GASOLINE,44,,Conroe,TX,30.246392,-95.411355
INFINITI,Q50,car,2018,GASOLINE,75,,Houston,TX,29.797432,-95.550889
Chevrolet,Equinox,suv,2015,GASOLINE,42,,Houston,TX,30.017949,-95.381122
Scion,tC,car,2011,GASOLINE,29,,Houston,TX,30.019478,-95.381222
Chevrolet,Cruze,car,2014,GASOLINE,29,,Houston,TX,30.018172,-95.381861
Jeep,Cherokee,suv,2016,GASOLINE,45,,Houston,TX,30.018566,-95.381553
Cadillac,Escalade,suv,2017,GASOLINE,199,,Spring,TX,30.061631,-95.546071
BMW,7 Series,car,2012,GASOLINE,126,,Houston,TX,29.727263,-95.481787
Ford,Focus,car,2014,GASOLINE,32,,Houston,TX,30.019429,-95.381072
Toyota,RAV4,suv,2012,GASOLINE,39,,Houston,TX,30.019536,-95.381183
Chevrolet,Cruze,car,2013,GASOLINE,29,,Houston,TX,30.018876,-95.380761
Ford,F-150,truck,2018,GASOLINE,110,,Houston,TX,30.013329,-95.467685
Ford,Focus,car,2015,GASOLINE,27,,Houston,TX,29.97829,-95.508117
Nissan,Rogue,suv,2013,GASOLINE,37,,Houston,TX,30.018914,-95.380667
FIAT,500X,suv,2016,GASOLINE,55,,Spring,TX,30.055384,-95.389545
Ford,F-150,truck,2010,GASOLINE,42,,Houston,TX,30.019648,-95.380675
Jeep,Renegade,suv,2017,GASOLINE,45,,Houston,TX,30.019523,-95.381089
Buick,Verano,car,2013,GASOLINE,32,,Houston,TX,30.019577,-95.381512
Ford,Escape,suv,2017,GASOLINE,42,,Houston,TX,30.01936,-95.381796
Kia,Soul,car,2013,GASOLINE,27,,Houston,TX,29.961147,-95.440438
Chevrolet,Malibu,car,2017,GASOLINE,45,,Houston,TX,30.019454,-95.380574
Chevrolet,Cruze,car,2016,GASOLINE,28,,Houston,TX,29.978396,-95.507245
Nissan,Frontier,truck,2014,GASOLINE,30,,Houston,TX,30.019438,-95.381067
Chevrolet,Equinox,suv,2014,GASOLINE,42,,Houston,TX,30.01943,-95.381578
Chevrolet,Equinox,suv,2015,GASOLINE,42,,Houston,TX,30.019212,-95.382147
Volkswagen,Jetta,car,2007,GASOLINE,25,,Houston,TX,29.959925,-95.439799
Mazda,MAZDA5,minivan,2013,GASOLINE,30,,Houston,TX,30.01992,-95.381316
Lamborghini,Gallardo,car,2010,GASOLINE,990,,Houston,TX,29.821046,-95.483616
Land Rover,Range Rover Sport,suv,2014,GASOLINE,199,,Houston,TX,29.728219,-95.466435
Kia,Soul,car,2014,GASOLINE,27,,Houston,TX,29.959769,-95.438891
Toyota,RAV4,suv,2010,GASOLINE,39,,Houston,TX,30.019864,-95.38125
Chevrolet,Cruze,car,2014,GASOLINE,29,,Houston,TX,30.019882,-95.380701
Mercedes-Benz,C-Class,car,2015,GASOLINE,89,,Houston,TX,29.727364,-95.480591
Hyundai,Sonata,car,2011,GASOLINE,27,,Houston,TX,29.959806,-95.439902
Scion,xB,car,2013,GASOLINE,29,,Houston,TX,29.959099,-95.43939
Dodge,Charger,car,2019,GASOLINE,132,,Cypress,TX,29.994649,-95.627289
Jaguar,XJ,car,2013,GASOLINE,45,,Wichita,KS,37.739004,-97.435134
BMW,5 Series,car,2010,GASOLINE,43,,Valley Center,KS,37.866713,-97.373876
Bentley,Continental Supersports,car,2011,GASOLINE,425,,Valley Center,KS,37.848302,-97.372425
Chevrolet,Corvette,car,2017,GASOLINE,200,,Wichita,KS,37.736834,-97.229792
Mercedes-Benz,E-Class,car,2010,GASOLINE,44,,Valley Center,KS,37.866209,-97.373565
Nissan,Frontier,truck,2019,GASOLINE,56,,Andover,KS,37.717652,-97.144265
Bentley,Continental GTC,car,2013,GASOLINE,499,,Valley Center,KS,37.865464,-97.373934
Lexus,NX 200t,suv,2017,GASOLINE,95,,Wichita,KS,37.691844,-97.371625
BMW,3 Series,car,2012,GASOLINE,100,,Wichita,KS,37.717562,-97.188335
Honda,Civic,car,2015,GASOLINE,65,,Wichita,KS,37.716162,-97.188828
Toyota,Corolla,car,2016,GASOLINE,34,,Indianapolis,IN,39.912999,-86.136755
Chevrolet,Silverado 1500,truck,2009,GASOLINE,42,,Indianapolis,IN,39.913024,-86.135739
Polaris,Slingshot,car,2016,GASOLINE,69,,Indianapolis,IN,39.703071,-85.987424
Volkswagen,Eos,car,2010,GASOLINE,43,,Noblesville,IN,40.070356,-85.989419
Honda,Insight,car,2014,HYBRID,34,,Indianapolis,IN,39.912136,-86.137382
Chrysler,Pacifica,minivan,2017,GASOLINE,64,,Noblesville,IN,40.000758,-86.065568
Toyota,Yaris iA,car,2017,GASOLINE,38,,Indianapolis,IN,39.912441,-86.137767
Honda,S2000,car,2007,GASOLINE,77,,Noblesville,IN,40.000722,-86.065466
Toyota,Yaris iA,car,2017,GASOLINE,38,,Indianapolis,IN,39.912363,-86.137464
Jeep,Wrangler,suv,2015,GASOLINE,74,,Westfield,IN,40.034583,-86.112023
Tesla,Model 3,car,2018,ELECTRIC,185,,Indianapolis,IN,39.778781,-86.179257
Tesla,Model X,suv,2018,ELECTRIC,195,,Indianapolis,IN,39.901023,-86.149745
Tesla,Model 3,car,2018,ELECTRIC,126,,Fishers,IN,39.971594,-85.871623
Hyundai,Accent,car,2014,GASOLINE,39,,Indianapolis,IN,39.911989,-86.136738
Toyota,Prius,car,2016,HYBRID,54,,Noblesville,IN,40.000449,-86.065727
Toyota,Yaris iA,car,2018,GASOLINE,42,,Noblesville,IN,40.000619,-86.064664
Toyota,Yaris,car,2020,GASOLINE,38,,Noblesville,IN,40.000265,-86.065347
Audi,A7,car,2012,GASOLINE,98,,Indianapolis,IN,39.877835,-86.228245
Toyota,Supra,car,2020,GASOLINE,150,,Noblesville,IN,40.00086,-86.065542
Tesla,Model Y,suv,2020,ELECTRIC,199,,Fishers,IN,39.971908,-85.87087
Hyundai,Sonata,car,2018,GASOLINE,42,,Avon,IN,39.787635,-86.371089
BMW,5 Series,car,2012,GASOLINE,94,,Indianapolis,IN,39.757932,-86.135237
Hyundai,Tucson,suv,2019,GASOLINE,50,,Avon,IN,39.78907,-86.373101
Acura,TLX,car,2015,GASOLINE,40,,Greenwood,IN,39.607449,-86.077866
Chevrolet,Volt,car,2016,HYBRID,45,,Avon,IN,39.788275,-86.370755
Tesla,Model S,car,2015,ELECTRIC,132,,Noblesville,IN,40.06995,-85.993093
Chevrolet,Equinox,suv,2017,GASOLINE,89,,Avon,IN,39.765078,-86.380608
Honda,Civic,car,2013,GASOLINE,45,,Indianapolis,IN,39.812878,-86.148448
Chevrolet,Silverado 1500,truck,2008,GASOLINE,39,,Indianapolis,IN,39.881728,-85.938178
Ford,F-150,truck,2007,GASOLINE,37,,Indianapolis,IN,39.88369,-85.938167
Dodge,Charger,car,2019,GASOLINE,90,,Indianapolis,IN,39.821984,-86.142248
Ford,Escape,suv,2015,GASOLINE,38,,Indianapolis,IN,39.745745,-86.024926
Chevrolet,Cruze,car,2015,GASOLINE,39,,Indianapolis,IN,39.85099,-86.343984
Infiniti,G Sedan,car,2012,GASOLINE,36,,Fishers,IN,39.941928,-85.977328
Chevrolet,Equinox,suv,2019,GASOLINE,43,,Plainfield,IN,39.705851,-86.367329
Chevrolet,Trax,suv,2019,GASOLINE,40,,Plainfield,IN,39.707095,-86.366462
Tesla,Model 3,car,2018,ELECTRIC,125,,Jacksonville,FL,30.253989,-81.53693
Tesla,Model 3,car,2019,ELECTRIC,168,,Jacksonville,FL,30.329718,-81.653005
BMW,X5,suv,2015,GASOLINE,84,,Jacksonville Beach,FL,30.25458,-81.391972
Chevrolet,Corvette,car,2019,GASOLINE,139,,Jacksonville,FL,30.334971,-81.791623
Chevrolet,Corvette,car,2019,GASOLINE,139,,Jacksonville,FL,30.332908,-81.792505
Jaguar,F-TYPE,car,2015,GASOLINE,124,,Jacksonville,FL,30.333714,-81.793613
Chevrolet,Corvette Stingray,car,2014,GASOLINE,139,,Jacksonville,FL,30.333689,-81.793612
Nissan,370Z,car,2011,GASOLINE,66,,Jacksonville,FL,30.258021,-81.75534
Tesla,Model 3,car,2020,ELECTRIC,142,,Jacksonville,FL,30.105492,-81.589734
Chevrolet,Express,van,2015,GASOLINE,55,,Jacksonville,FL,30.293727,-81.606324
Toyota,Corolla,car,2016,GASOLINE,45,,Jacksonville,FL,30.324085,-81.523021
Chevrolet,Express,van,2017,GASOLINE,75,,Jacksonville,FL,30.293861,-81.607779
Chevrolet,Corvette Stingray,car,2014,GASOLINE,139,,Jacksonville,FL,30.334317,-81.793684
Porsche,Cayman,car,2014,GASOLINE,124,,Jacksonville,FL,30.335201,-81.792844
Chevrolet,Camaro,car,2016,GASOLINE,125,,Jacksonville,FL,30.474615,-81.636417
Maserati,Ghibli,car,2016,GASOLINE,124,,Jacksonville,FL,30.333369,-81.793421
Chevrolet,Corvette,car,2019,GASOLINE,139,,Jacksonville,FL,30.332938,-81.792468
Porsche,Cayman,car,2014,GASOLINE,207,,Jacksonville,FL,30.269403,-81.795106
Chevrolet,Express,van,2017,GASOLINE,95,,Jacksonville,FL,30.294934,-81.608778
Chevrolet,Express,van,2017,GASOLINE,109,,Jacksonville,FL,30.295194,-81.607364
Chevrolet,Express,van,2016,GASOLINE,99,,Jacksonville,FL,30.294171,-81.608758
Tesla,Model 3,car,2018,ELECTRIC,135,,Saint Johns,FL,30.06164,-81.635458
BMW,Z4,car,2014,GASOLINE,86,,Jacksonville,FL,30.333764,-81.793613
Porsche,Boxster,car,2011,GASOLINE,86,,Jacksonville,FL,30.333175,-81.793082
Mercedes-Benz,SLK-Class,car,2013,GASOLINE,86,,Jacksonville,FL,30.333505,-81.791274
Ford,C-Max Hybrid,car,2016,HYBRID,45,,Jacksonville,FL,30.32379,-81.52181
Dodge,Durango,suv,2017,GASOLINE,72,,Jacksonville,FL,30.329695,-81.653303
Polaris,Slingshot,car,2019,GASOLINE,211,,Jacksonville,FL,30.351638,-81.489142
Chevrolet,Camaro,car,2019,GASOLINE,110,,Jacksonville,FL,30.196113,-81.545734
BMW,2 Series,car,2016,GASOLINE,86,,Jacksonville,FL,30.333316,-81.793355
Kia,Sedona,minivan,2016,GASOLINE,49,,Jacksonville,FL,30.293293,-81.608942
Chevrolet,Camaro,car,2016,GASOLINE,149,,Jacksonville,FL,30.072078,-81.54952
Chevrolet,Corvette,car,2016,GASOLINE,275,,Jacksonville,FL,30.281897,-81.755167
smart,fortwo,car,2015,GASOLINE,28,,Jacksonville,FL,30.361985,-81.501306
Toyota,Prius,car,2011,HYBRID,28,,Jacksonville,FL,30.179244,-81.555936
Jeep,Renegade,suv,2017,GASOLINE,50,,Jacksonville,FL,30.329507,-81.652951
Jeep,Wrangler,suv,2017,GASOLINE,84,,Fernandina Beach,FL,30.639914,-81.453123
BMW,4 Series,car,2015,GASOLINE,86,,Jacksonville,FL,30.332931,-81.792444
Ford,Focus,car,2017,GASOLINE,39,,Jacksonville,FL,30.105223,-81.58917
Mercedes-Benz,CLA-Class,car,2014,GASOLINE,84,,Jacksonville,FL,30.335106,-81.79302
Toyota,Camry,car,2018,GASOLINE,55,,St. Augustine,FL,29.97616,-81.527345
Mercedes-Benz,Metris,minivan,2016,GASOLINE,109,,Jacksonville,FL,30.332996,-81.792377
Mercedes-Benz,380sl,car,1983,GASOLINE,98,,Jacksonville,FL,30.072527,-81.549892
Ford,F-150,truck,2013,GASOLINE,210,,Jacksonville,FL,30.318215,-81.480429
BMW,X3,suv,2016,GASOLINE,84,,Jacksonville,FL,30.335319,-81.792305
Mazda,3,car,2017,GASOLINE,69,,Jacksonville,FL,30.176601,-81.622718
Dodge,Charger,car,2016,GASOLINE,79,,Jacksonville,FL,30.333988,-81.791261
BMW,3 Series Gran Turismo,car,2016,GASOLINE,84,,Jacksonville,FL,30.334124,-81.793676
Mercedes-Benz,GLC-Class,suv,2016,GASOLINE,84,,Jacksonville,FL,30.334718,-81.792991
Mercedes-Benz,CLA-Class,car,2016,GASOLINE,84,,Jacksonville,FL,30.333328,-81.791702
Mercedes-Benz,GLA-Class,suv,2015,GASOLINE,84,,Jacksonville,FL,30.333024,-81.792467
Mercedes-Benz,CLA-Class,car,2016,GASOLINE,79,,Jacksonville,FL,30.334025,-81.793578
Mercedes-Benz,CLA-Class,car,2016,GASOLINE,84,,Jacksonville,FL,30.333396,-81.792209
Chevrolet,Equinox,suv,2010,GASOLINE,35,,Macclenny,FL,30.278961,-82.118878
Nissan,Pathfinder,suv,2017,GASOLINE,70,,Jacksonville,FL,30.197214,-81.545162
Honda,Civic,car,2018,GASOLINE,54,,Jacksonville,FL,30.333127,-81.791778
Chevrolet,Cruze,car,2018,GASOLINE,54,,Jacksonville,FL,30.333751,-81.791307
Dodge,Grand Caravan,minivan,2018,GASOLINE,54,,Jacksonville,FL,30.334511,-81.79131
